date,vix,vvix,vx1,vvix_vix_spread,signal,position,vx1_return,pnl
2022-05-12,31.77,122.11,31.25,90.34,-1.0,-1.0,-0.028704068128354798,-0.028704068128354798
2022-05-13,28.87,113.89,28.82,85.02,-1.0,-1.0,-0.08094978561103483,-0.08094978561103483
2022-05-16,27.47,108.26,27.59,80.79,-1.0,-1.0,-0.04361620234218133,-0.04361620234218133
2022-05-17,26.1,101.2,26.6,75.1,-1.0,-1.0,-0.0365421724415409,-0.0365421724415409
2022-05-18,30.96,114.96,31.52,84.0,-1.0,-1.0,0.16971104920202462,0.16971104920202462
2022-05-19,29.35,104.89,29.29,75.53999999999999,-1.0,-1.0,-0.07337610415003626,-0.07337610415003626
2022-05-20,29.43,107.8,29.42,78.37,-1.0,-1.0,0.004428554333649526,0.004428554333649526
2022-05-23,28.48,102.68,29.08,74.2,-1.0,-1.0,-0.011624062507972877,-0.011624062507972877
2022-05-24,29.45,104.29,29.19,74.84,-1.0,-1.0,0.003775532200704923,0.003775532200704923
2022-05-25,28.37,98.79,28.49,70.42,0.0,-1.0,-0.024273036356206923,-0.024273036356206923
2022-05-26,27.5,96.25,28.06,68.75,0.0,0.0,-0.015208073835502045,0.0
2022-05-27,25.72,93.66,26.87,67.94,0.0,0.0,-0.04333465204691489,0.0
2022-05-31,26.19,93.1,26.41,66.91,0.0,0.0,-0.017267696318358894,0.0
2022-06-01,25.69,91.39,26.19,65.7,0.0,0.0,-0.008365067789420255,0.0
2022-06-02,24.72,91.08,25.6,66.36,0.0,0.0,-0.022785307034103752,0.0
2022-06-03,24.79,90.5,25.96,65.71000000000001,0.0,0.0,0.013964540350372534,-0.0
2022-06-06,25.07,89.53,25.59,64.46000000000001,0.0,0.0,-0.014355241664191887,0.0
2022-06-07,24.02,87.82,24.68,63.8,0.0,0.0,-0.03620845113451043,0.0
2022-06-08,23.96,92.68,24.7,68.72,0.0,0.0,0.0008100445967444969,-0.0
2022-06-09,26.09,98.82,26.42,72.72999999999999,0.0,0.0,0.06731805546024772,-0.0
2022-06-10,27.75,99.75,28.29,72.0,0.0,0.0,0.06838708621929657,-0.0
2022-06-13,34.02,113.72,33.47,79.69999999999999,-1.0,0.0,0.16814112990975927,-0.0
2022-06-14,32.69,111.01,32.58,78.32000000000001,-1.0,-1.0,-0.026950912049335862,-0.026950912049335862
2022-06-15,29.62,105.37,30.03,75.75,-1.0,-1.0,-0.08150172117866017,-0.08150172117866017
2022-06-16,32.95,114.36,31.92,81.41,-1.0,-1.0,0.061035890586369046,0.061035890586369046
2022-06-17,31.13,110.06,30.9,78.93,-1.0,-1.0,-0.03247658867790859,-0.03247658867790859
2022-06-21,30.19,104.37,30.32,74.18,-1.0,-1.0,-0.018948623129528386,-0.018948623129528386
2022-06-22,28.95,99.66,29.01,70.71,0.0,-1.0,-0.04416696264085829,-0.04416696264085829
2022-06-23,29.05,98.31,29.01,69.26,0.0,0.0,0.0,-0.0
2022-06-24,27.23,91.34,28.48,64.11,0.0,0.0,-0.01843851158953802,0.0
2022-06-27,26.95,87.58,27.41,60.629999999999995,0.0,0.0,-0.03829417622908027,0.0
2022-06-28,28.36,90.62,28.33,62.260000000000005,0.0,0.0,0.033013403527730745,-0.0
2022-06-29,28.16,88.92,28.33,60.760000000000005,0.0,0.0,0.0,-0.0
2022-06-30,28.71,89.39,28.56,60.68,0.0,0.0,0.008085823628958266,-0.0
2022-07-01,26.7,85.51,27.69,58.81,0.0,0.0,-0.03093580028851317,0.0
2022-07-05,27.54,87.3,27.73,59.76,0.0,0.0,0.0014435224448163808,-0.0
2022-07-06,26.73,85.88,27.2,59.14999999999999,0.0,0.0,-0.01929788632573537,0.0
2022-07-07,26.08,85.88,26.85,59.8,0.0,0.0,-0.012951152347077777,0.0
2022-07-08,24.64,84.74,26.05,60.099999999999994,0.0,0.0,-0.03024805275549758,0.0
2022-07-11,26.17,88.05,27.19,61.879999999999995,0.0,0.0,0.04283149044500334,-0.0
2022-07-12,27.29,90.06,27.39,62.77,0.0,0.0,0.007328724630607297,-0.0
2022-07-13,26.82,90.49,26.86,63.669999999999995,0.0,0.0,-0.019539792179894988,0.0
2022-07-14,26.4,90.73,26.87,64.33000000000001,0.0,0.0,0.00037223153230803163,-0.0
2022-07-15,24.23,89.37,25.21,65.14,0.0,0.0,-0.06376968142757145,0.0
2022-07-18,25.3,91.86,25.7,66.56,0.0,0.0,0.019250250701345895,-0.0
2022-07-19,24.5,88.61,24.83,64.11,0.0,0.0,-0.034438392381098915,0.0
2022-07-20,23.88,86.75,26.27,62.870000000000005,0.0,0.0,0.05637500417737318,-0.0
2022-07-21,23.11,85.04,25.74,61.93000000000001,0.0,0.0,-0.02038140152946788,0.0
2022-07-22,23.03,84.53,25.5,61.5,0.0,0.0,-0.00936775000360024,0.0
2022-07-25,23.36,83.82,25.21,60.459999999999994,0.0,0.0,-0.01143771096455204,0.0
2022-07-26,24.69,84.83,25.95,60.14,0.0,0.0,0.028930868412069266,-0.0
2022-07-27,23.24,81.77,25.0,58.53,0.0,0.0,-0.03729578474369699,0.0
2022-07-28,22.33,80.88,23.67,58.55,0.0,0.0,-0.054667401342308075,0.0
2022-07-29,21.33,80.29,23.42,58.96000000000001,0.0,0.0,-0.01061806535632126,0.0
2022-08-01,22.84,86.34,24.21,63.5,0.0,0.0,0.03317541278039604,-0.0
2022-08-02,23.93,88.47,24.61,64.53999999999999,0.0,0.0,0.01638709345299727,-0.0
2022-08-03,21.95,84.6,23.16,62.64999999999999,0.0,0.0,-0.06072621169816994,0.0
2022-08-04,21.44,83.69,23.2,62.25,0.0,0.0,0.0017256259674698349,-0.0
2022-08-05,21.15,84.13,22.45,62.98,0.0,0.0,-0.032861664484001185,0.0
2022-08-08,21.29,86.95,22.66,65.66,0.0,0.0,0.009310641411596876,-0.0
2022-08-09,21.77,87.49,22.99,65.72,0.0,0.0,0.014458083175230119,-0.0
2022-08-10,19.74,90.04,21.35,70.30000000000001,0.0,0.0,-0.07400759910045673,0.0
2022-08-11,20.2,90.84,21.5,70.64,0.0,0.0,0.007001195458983478,-0.0
2022-08-12,19.53,91.01,21.19,71.48,0.0,0.0,-0.014523562853409278,0.0
2022-08-15,19.95,88.73,20.43,68.78,0.0,0.0,-0.03652496345067702,0.0
2022-08-16,19.69,88.05,20.0,68.36,0.0,0.0,-0.02127213527553984,0.0
2022-08-17,19.9,87.47,23.28,67.57,0.0,0.0,0.15186234930924636,-0.0
2022-08-18,19.56,86.46,23.0,66.89999999999999,0.0,0.0,-0.012100406934087538,0.0
2022-08-19,20.6,89.77,24.1,69.16999999999999,0.0,0.0,0.04671762456745965,-0.0
2022-08-22,23.8,94.75,25.82,70.95,0.0,0.0,0.0689375449218872,-0.0
2022-08-23,24.11,93.34,25.33,69.23,0.0,0.0,-0.019159921404912517,0.0
2022-08-24,22.82,86.45,24.35,63.63,0.0,0.0,-0.03945761448498519,0.0
2022-08-25,21.78,83.32,23.6,61.53999999999999,0.0,0.0,-0.03128513749703421,0.0
2022-08-26,25.56,91.66,26.18,66.1,0.0,0.0,0.10374904845018929,-0.0
2022-08-29,26.21,91.57,26.03,65.35999999999999,0.0,0.0,-0.005746041475279906,0.0
2022-08-30,26.21,91.11,26.46,64.9,0.0,0.0,0.01638443968033565,-0.0
2022-08-31,25.87,88.4,25.79,62.53,0.0,0.0,-0.025647338793556074,0.0
2022-09-01,25.56,87.74,25.62,62.17999999999999,0.0,0.0,-0.006613523424665146,0.0
2022-09-02,25.47,89.19,25.94,63.72,0.0,0.0,0.012412882419709614,-0.0
2022-09-06,26.91,94.08,26.76,67.17,0.0,0.0,0.031122056371729823,-0.0
2022-09-07,24.64,88.26,24.9,63.620000000000005,0.0,0.0,-0.07204043178936592,0.0
