date,risk_scalar
2021-05-30,0.8547514527766578
2021-05-31,0.8535635895824933
2021-06-01,0.85267269218687
2021-06-02,0.8520045191401525
2021-06-03,0.8515033893551144
2021-06-04,0.8886275420163358
2021-06-06,0.9164706565122518
2021-06-07,0.9373529923841888
2021-06-08,0.9530147442881416
2021-06-09,0.9647610582161061
2021-06-10,0.9735707936620797
2021-06-11,0.9801780952465597
2021-06-13,0.9851335714349199
2021-06-14,0.9888501785761898
2021-06-15,0.9916376339321424
2021-06-16,0.9562282254491069
2021-06-17,0.9296711690868302
2021-06-18,0.9097533768151227
2021-06-20,0.8948150326113421
2021-06-21,0.8836112744585066
2021-06-22,0.87520845584388
2021-06-23,0.86890634188291
2021-06-24,0.8641797564121826
2021-06-25,0.8606348173091369
2021-06-27,0.8579761129818527
2021-06-28,0.8559820847363896
2021-06-29,0.8919865635522922
2021-06-30,0.9189899226642192
2021-07-01,0.9392424419981644
2021-07-02,0.9544318314986233
2021-07-04,0.9658238736239675
2021-07-05,0.9743679052179757
2021-07-06,0.9807759289134818
2021-07-07,0.9855819466851113
2021-07-08,0.9891864600138335
2021-07-09,0.9918898450103751
2021-07-11,0.9939173837577814
2021-07-12,0.9954380378183361
2021-07-13,0.996578528363752
2021-07-14,0.997433896272814
2021-07-15,0.9980754222046104
2021-07-16,0.9985565666534578
2021-07-18,0.9989174249900934
2021-07-19,0.99918806874257
2021-07-20,0.9993910515569275
2021-07-21,0.9995432886676956
2021-07-22,0.9996574665007717
2021-07-23,0.9997430998755787
2021-07-25,0.9998073249066841
2021-07-26,0.999855493680013
2021-07-27,0.9998916202600098
2021-07-28,0.9999187151950073
2021-07-29,0.9999390363962555
2021-07-30,0.9999542772971917
2021-08-01,0.9999657079728937
2021-08-02,0.9999742809796703
2021-08-03,0.9999807107347527
2021-08-04,0.9999855330510645
2021-08-05,0.9999891497882984
2021-08-06,0.9999918623412238
2021-08-08,0.9999938967559179
2021-08-09,0.9999954225669384
2021-08-10,0.9999965669252038
2021-08-11,0.9999974251939028
2021-08-12,0.9999980688954271
2021-08-13,0.9999985516715704
2021-08-15,0.9999989137536778
2021-08-16,0.9999991853152583
2021-08-17,0.9999993889864438
2021-08-18,0.9999995417398329
2021-08-19,0.9999996563048746
2021-08-20,0.999999742228656
2021-08-22,0.9999998066714919
2021-08-23,0.9624998550036189
2021-08-24,0.9343748912527142
2021-08-25,0.9132811684395357
2021-08-26,0.8974608763296518
2021-08-27,0.8855956572472389
2021-08-29,0.8766967429354292
2021-08-30,0.870022557201572
2021-08-31,0.865016917901179
2021-09-01,0.8612626884258843
2021-09-02,0.8584470163194132
2021-09-03,0.8563352622395599
2021-09-05,0.85475144667967
2021-09-06,0.8535635850097525
2021-09-07,0.8526726887573144
2021-09-08,0.8520045165679858
2021-09-09,0.8515033874259894
2021-09-10,0.8511275405694921
2021-09-12,0.8508456554271191
2021-09-13,0.8506342415703393
2021-09-14,0.8504756811777545
2021-09-15,0.8878567608833159
2021-09-16,0.915892570662487
2021-09-17,0.9369194279968652
2021-09-19,0.952689570997649
2021-09-20,0.9645171782482367
2021-09-21,0.9733878836861776
2021-09-22,0.9800409127646332
2021-09-23,0.9850306845734749
2021-09-24,0.9887730134301062
2021-09-26,0.9915797600725796
2021-09-27,0.9936848200544347
2021-09-28,0.995263615040826
2021-09-29,0.9964477112806196
2021-09-30,0.9973357834604647
2021-10-01,0.9980018375953486
2021-10-03,0.9985013781965114
2021-10-04,0.9988760336473835
2021-10-05,0.9991570252355376
2021-10-06,0.9993677689266532
2021-10-07,0.9995258266949899
2021-10-08,0.9996443700212424
2021-10-10,0.9997332775159318
2021-10-11,0.9997999581369488
2021-10-12,0.9998499686027116
2021-10-13,0.9998874764520337
2021-10-14,0.9999156073390253
2021-10-15,0.9999367055042689
2021-10-17,0.9999525291282017
2021-10-18,0.9999643968461512
2021-10-19,0.9999732976346134
2021-10-20,0.99997997322596
2021-10-21,0.99998497991947
2021-10-22,0.9999887349396025
2021-10-24,0.9999915512047018
2021-10-25,0.9999936634035264
2021-10-26,0.9999952475526448
2021-10-27,0.9999964356644836
2021-10-28,0.9999973267483627
2021-10-29,0.9999979950612721
2021-10-31,0.999998496295954
2021-11-01,0.9999988722219655
2021-11-02,0.9999991541664741
2021-11-03,0.9999993656248556
2021-11-04,0.9999995242186417
2021-11-05,0.9999996431639813
2021-11-07,0.9999997323729859
2021-11-08,0.9999997992797394
2021-11-09,0.9999998494598046
2021-11-10,0.9999998870948534
2021-11-11,0.9999999153211401
2021-11-12,0.9999999364908551
2021-11-14,0.9999999523681413
2021-11-15,0.9999999642761059
2021-11-16,0.9999999732070795
2021-11-17,0.9999999799053096
2021-11-18,0.9999999849289822
2021-11-19,0.9999999886967367
2021-11-21,0.9999999915225525
2021-11-22,0.9624999936419144
2021-11-23,0.9343749952314359
2021-11-24,0.9132812464235769
2021-11-25,0.8974609348176826
2021-11-26,0.885595701113262
2021-11-28,0.8766967758349465
2021-11-29,0.87002258187621
2021-11-30,0.9025169364071575
2021-12-01,0.9268877023053681
2021-12-02,0.945165776729026
