date,engine,policy_multiplier,policy_state,stress_percentile,stress_value
2020-05-18,vrp,1,ON,0.00000000,0
2020-05-19,trend,1,ON,0.00000000,0
2020-05-19,vrp,1,ON,0.00000000,0
2020-05-20,trend,1,ON,0.00000000,0
2020-05-20,vrp,1,ON,0.00000000,0
2020-05-21,trend,1,ON,0.00000000,0
2020-05-21,vrp,1,ON,0.00000000,0
2020-05-22,trend,1,ON,0.00000000,0
2020-05-22,vrp,1,ON,0.00000000,0
2020-05-24,vrp,1,ON,0.00000000,0
2020-05-24,trend,1,ON,0.00000000,0
2020-05-25,trend,1,ON,0.00000000,0
2020-05-25,vrp,1,ON,0.00000000,0
2020-05-26,trend,1,ON,0.00000000,0
2020-05-26,vrp,1,ON,0.00000000,0
2020-05-27,trend,1,ON,0.00000000,0
2020-05-27,vrp,1,ON,0.00000000,0
2020-05-28,trend,1,ON,0.00000000,0
2020-05-28,vrp,1,ON,0.00000000,0
2020-05-29,trend,1,ON,0.00000000,0
2020-05-29,vrp,1,ON,0.00000000,0
2020-05-31,trend,1,ON,0.00000000,0
2020-05-31,vrp,1,ON,0.00000000,0
2020-06-01,vrp,1,ON,0.00000000,0
2020-06-01,trend,1,ON,0.00000000,0
2020-06-02,trend,1,ON,0.00000000,0
2020-06-02,vrp,1,ON,0.00000000,0
2020-06-03,trend,1,ON,0.00000000,0
2020-06-03,vrp,1,ON,0.00000000,0
2020-06-04,trend,1,ON,0.00000000,0
2020-06-04,vrp,1,ON,0.00000000,0
2020-06-05,trend,1,ON,0.00000000,0
2020-06-05,vrp,1,ON,0.00000000,0
2020-06-07,trend,1,ON,0.00000000,0
2020-06-07,vrp,1,ON,0.00000000,0
2020-06-08,trend,1,ON,0.00000000,0
2020-06-08,vrp,1,ON,0.00000000,0
2020-06-09,vrp,1,ON,0.00000000,0
2020-06-09,trend,1,ON,0.00000000,0
2020-06-10,trend,1,ON,0.00000000,0
2020-06-10,vrp,1,ON,0.00000000,0
2020-06-11,trend,1,ON,0.00000000,0
2020-06-11,vrp,1,ON,0.00000000,0
2020-06-12,trend,1,ON,0.00000000,0
2020-06-12,vrp,1,ON,0.00000000,0
2020-06-14,trend,1,ON,0.00000000,0
2020-06-14,vrp,1,ON,0.00000000,0
2020-06-15,trend,1,ON,0.00000000,0
2020-06-15,vrp,1,ON,0.00000000,0
2020-06-16,trend,1,ON,0.00000000,0
2020-06-16,vrp,1,ON,0.00000000,0
2020-06-17,vrp,1,ON,0.00000000,0
2020-06-17,trend,1,ON,0.00000000,0
2020-06-18,trend,1,ON,0.00000000,0
2020-06-18,vrp,1,ON,0.00000000,0
2020-06-19,trend,1,ON,0.00000000,0
2020-06-19,vrp,1,ON,0.00000000,0
2020-06-21,trend,1,ON,0.00000000,0
2020-06-21,vrp,1,ON,0.00000000,0
2020-06-22,trend,1,ON,0.00000000,0
2020-06-22,vrp,1,ON,0.00000000,0
2020-06-23,trend,1,ON,0.00000000,0
2020-06-23,vrp,1,ON,0.00000000,0
2020-06-24,trend,1,ON,0.00000000,0
2020-06-24,vrp,1,ON,0.00000000,0
2020-06-25,vrp,1,ON,0.00000000,0
2020-06-25,trend,1,ON,0.00000000,0
2020-06-26,trend,1,ON,0.00000000,0
2020-06-26,vrp,1,ON,0.00000000,0
2020-06-28,trend,1,ON,0.00000000,0
2020-06-28,vrp,1,ON,0.00000000,0
2020-06-29,trend,1,ON,0.00000000,0
2020-06-29,vrp,1,ON,0.00000000,0
2020-06-30,trend,1,ON,0.00000000,0
2020-06-30,vrp,1,ON,0.00000000,0
2020-07-01,trend,1,ON,0.00000000,0
2020-07-01,vrp,1,ON,0.00000000,0
2020-07-02,trend,1,ON,0.00000000,0
2020-07-02,vrp,1,ON,0.00000000,0
2020-07-03,vrp,1,ON,0.00000000,0
2020-07-03,trend,1,ON,0.00000000,0
2020-07-05,trend,1,ON,0.00000000,0
2020-07-05,vrp,1,ON,0.00000000,0
2020-07-06,trend,1,ON,0.00000000,0
2020-07-06,vrp,1,ON,0.00000000,0
2020-07-07,trend,1,ON,0.00000000,0
2020-07-07,vrp,1,ON,0.00000000,0
2020-07-08,trend,1,ON,0.00000000,0
2020-07-08,vrp,1,ON,0.00000000,0
2020-07-09,trend,1,ON,0.00000000,0
2020-07-09,vrp,1,ON,0.00000000,0
2020-07-10,trend,1,ON,0.00000000,0
2020-07-10,vrp,1,ON,0.00000000,0
2020-07-12,vrp,1,ON,0.00000000,0
2020-07-12,trend,1,ON,0.00000000,0
2020-07-13,trend,1,ON,0.00000000,0
2020-07-13,vrp,1,ON,0.00000000,0
2020-07-14,trend,1,ON,0.00000000,0
2020-07-14,vrp,1,ON,0.00000000,0
2020-07-15,trend,1,ON,0.00000000,0
2020-07-15,vrp,1,ON,0.00000000,0
2020-07-16,trend,1,ON,0.00000000,0
2020-07-16,vrp,1,ON,0.00000000,0
2020-07-17,trend,1,ON,0.00000000,0
2020-07-17,vrp,1,ON,0.00000000,0
2020-07-19,trend,1,ON,0.00000000,0
2020-07-19,vrp,1,ON,0.00000000,0
2020-07-20,vrp,1,ON,0.00000000,0
2020-07-20,trend,1,ON,0.00000000,0
2020-07-21,vrp,1,ON,0.00000000,0
2020-07-21,trend,1,ON,0.00000000,0
2020-07-22,trend,1,ON,0.00000000,0
2020-07-22,vrp,1,ON,0.00000000,0
2020-07-23,trend,1,ON,0.00000000,0
2020-07-23,vrp,1,ON,0.00000000,0
2020-07-24,trend,1,ON,0.00000000,0
2020-07-24,vrp,1,ON,0.00000000,0
2020-07-26,trend,1,ON,0.00000000,0
2020-07-26,vrp,1,ON,0.00000000,0
2020-07-27,trend,1,ON,0.00000000,0
2020-07-27,vrp,1,ON,0.00000000,0
2020-07-28,trend,1,ON,0.00000000,0
2020-07-28,vrp,1,ON,0.00000000,0
2020-07-29,vrp,1,ON,0.00000000,0
2020-07-29,trend,1,ON,0.00000000,0
2020-07-30,trend,1,ON,0.00000000,0
2020-07-30,vrp,1,ON,0.00000000,0
2020-07-31,trend,1,ON,0.00000000,0
2020-07-31,vrp,1,ON,0.00000000,0
2020-08-02,trend,1,ON,0.00000000,0
2020-08-02,vrp,1,ON,0.00000000,0
2020-08-03,trend,1,ON,0.00000000,0
2020-08-03,vrp,1,ON,0.00000000,0
2020-08-04,trend,1,ON,0.00000000,0
2020-08-04,vrp,1,ON,0.00000000,0
2020-08-05,trend,1,ON,0.00000000,0
2020-08-05,vrp,1,ON,0.00000000,0
2020-08-06,vrp,1,ON,0.00000000,0
2020-08-06,trend,1,ON,0.00000000,0
2020-08-07,trend,1,ON,0.00000000,0
2020-08-07,vrp,1,ON,0.00000000,0
2020-08-09,trend,1,ON,0.00000000,0
2020-08-09,vrp,1,ON,0.00000000,0
2020-08-10,trend,1,ON,0.00000000,0
2020-08-10,vrp,1,ON,0.00000000,0
2020-08-11,trend,1,ON,0.00000000,0
2020-08-11,vrp,1,ON,0.00000000,0
2020-08-12,trend,1,ON,0.00000000,0
2020-08-12,vrp,1,ON,0.00000000,0
2020-08-13,vrp,1,ON,0.00000000,0
2020-08-13,trend,1,ON,0.00000000,0
2020-08-14,vrp,1,ON,0.00000000,0
2020-08-14,trend,1,ON,0.00000000,0
2020-08-16,trend,1,ON,0.00000000,0
2020-08-16,vrp,1,ON,0.00000000,0
2020-08-17,trend,1,ON,0.00000000,0
2020-08-17,vrp,1,ON,0.00000000,0
2020-08-18,trend,1,ON,0.00000000,0
2020-08-18,vrp,1,ON,0.00000000,0
2020-08-19,trend,1,ON,0.00000000,0
2020-08-19,vrp,1,ON,0.00000000,0
2020-08-20,trend,1,ON,0.00000000,0
2020-08-20,vrp,1,ON,0.00000000,0
2020-08-21,vrp,1,ON,0.00000000,0
2020-08-21,trend,1,ON,0.00000000,0
2020-08-23,vrp,1,ON,0.00000000,0
2020-08-23,trend,1,ON,0.00000000,0
2020-08-24,trend,1,ON,0.00000000,0
2020-08-24,vrp,1,ON,0.00000000,0
2020-08-25,trend,1,ON,0.00000000,0
2020-08-25,vrp,1,ON,0.00000000,0
