date,core_v9,crisis_sleeve,combined
2020-05-07,-0.0030445320338807,0.021208966148454245,-0.0019840837264579877
2020-05-08,0.012190203822906,0.031186555675571714,0.013749531606684587
2020-05-11,-0.0008426194267823,-0.004413290654294411,-0.0010632839594970206
2020-05-12,-0.0096700332146541,-0.04675997626595674,-0.012008032027951938
2020-05-13,-0.0029913722838913,0.000259665081975502,-0.002978389029792525
2020-05-14,0.0013531065084965,0.02112825682402608,0.0024095193496978043
2020-05-15,0.0031513761386868,0.0016587672465377956,0.0032343145010136896
2020-05-18,0.0179254596873707,0.02114413738146448,0.018982666556443924
2020-05-19,-0.0107385766171117,0.002696735979000664,-0.010603739818161666
2020-05-20,0.0048630658913561,-0.0158336155007337,0.0040713851163194145
2020-05-21,-0.0001501127146732,-0.007357614387784928,-0.0005179934340624464
