date,baseline,variant
2020-08-19,1.1140431477779609,1.1084988373143085
2020-08-20,1.110747197500013,1.1053639924850343
2020-08-21,1.1056489641531737,1.100524650739673
2020-08-23,1.1078893550645021,1.1026431578155094
2020-08-24,1.1143657495430137,1.1088450246824282
2020-08-25,1.1286231880628639,1.1223407760858646
2020-08-26,1.1286021377980275,1.1223571010839766
2020-08-27,1.1449894807908483,1.1379604268730232
2020-08-28,1.1280381254121563,1.1218195452721536
2020-08-30,1.1302865034436487,1.123943729416168
2020-08-31,1.1264600612696203,1.1203111148894083
2020-09-01,1.1230852848128512,1.1171225778790523
2020-09-02,1.1235917454849496,1.1176731074596362
2020-09-03,1.10625832617231,1.1012434323367395
2020-09-04,1.1134553429752159,1.1081532212363356
2020-09-06,1.1086614569801418,1.1033821630693452
2020-09-07,1.1124316703103334,1.1069163990904418
2020-09-08,1.0806013887151582,1.076764005864559
2020-09-09,1.0991796932702436,1.0944009072472296
2020-09-10,1.0833499015309689,1.0793802012251532
2020-09-11,1.0748269344404242,1.0712464044686203
2020-09-13,1.079201929128099,1.0756068249033583
2020-09-14,1.0777875178020075,1.0742676103293498
2020-09-15,1.0847378004539874,1.0809021875728944
2020-09-16,1.082754432001677,1.0789068753411781
2020-09-17,1.0741150064507983,1.0707095036284477
2020-09-18,1.0758092936443926,1.0723715747499722
2020-09-20,1.0671196357289547,1.063709684396479
2020-09-21,1.0614451267007468,1.0582820784110123
2020-09-22,1.0616180578137064,1.0584081619105599
2020-09-23,1.0590476427485722,1.0559931147002317
2020-09-24,1.0648412613964116,1.0614811778398343
2020-09-25,1.06940077251865,1.0657990453392188
2020-09-27,1.0711089397565035,1.0675014594931718
2020-09-28,1.078871896803474,1.0748705122699604
2020-09-29,1.074257884249303,1.0704846527913359
2020-09-30,1.0845919354082454,1.080305496717217
2020-10-01,1.079141895580394,1.0752036523088118
2020-10-02,1.0738380952328495,1.0701661761289423
2020-10-04,1.0780661501690882,1.0743797735079743
2020-10-05,1.094311522783773,1.0898301665705192
2020-10-06,1.0892175100845527,1.085010672154832
2020-10-07,1.1079221625646287,1.1027276579517846
2020-10-08,1.1221447591616256,1.1162079080709697
2020-10-09,1.123416433174691,1.1174251017029215
2020-10-11,1.1205824329717986,1.114716929452048
2020-10-12,1.1241430696748975,1.1180503346813075
2020-10-13,1.1193222125810904,1.1134788881220976
2020-10-14,1.1180678219862907,1.1122934380724019
2020-10-15,1.1160403990248904,1.11041060004008
2020-10-16,1.1148559814138546,1.1093227605055667
2020-10-18,1.11999074518864,1.1141916332892663
2020-10-19,1.1148231096253562,1.1092930774496146
2020-10-20,1.1171403105902828,1.1115134571879464
2020-10-21,1.1099052198168213,1.1046604890003437
2020-10-22,1.1234015069094219,1.1175082465591273
2020-10-23,1.114335128916945,1.1089030862094824
2020-10-25,1.1077540575978462,1.1026547789627548
2020-10-26,1.095547808599409,1.0911122327129394
2020-10-27,1.08658789172359,1.082634774140131
2020-10-28,1.0710730240562818,1.0679492722937427
2020-10-29,1.0707194334536354,1.0676412235344863
2020-10-30,1.0750378082807295,1.0717318854745126
2020-11-01,1.0615012976823666,1.0589117461093176
2020-11-02,1.0820742603231401,1.0783958462089676
2020-11-03,1.1105468038180257,1.1054051557065863
2020-11-04,1.0894640629736976,1.0853739401128046
2020-11-05,1.0974534455939147,1.0929790065234248
2020-11-06,1.0995401830051426,1.094966842710052
2020-11-08,1.105385493006803,1.1007878401925513
2020-11-09,1.1357987808801404,1.1297056984078886
2020-11-10,1.1571392908045337,1.1498986139242515
2020-11-11,1.1562782029935674,1.1490856992615508
2020-11-12,1.1338366630381105,1.1278904843509032
2020-11-13,1.1362677702280468,1.13022221626311
2020-11-15,1.141117916988265,1.1350465576412299
2020-11-16,1.1475371363345794,1.1409919476619452
2020-11-17,1.1386241278938842,1.1325183605779705
2020-11-18,1.1322880433457492,1.1266215047655073
2020-11-19,1.1235010584557878,1.118315643621707
2020-11-20,1.1283068801857206,1.1228475989410798
2020-11-22,1.1293445728079645,1.1238802707166287
2020-11-23,1.143695654084278,1.137473661032335
2020-11-24,1.1566134993248398,1.149678851488957
2020-11-25,1.1603265938914433,1.1532213467260564
2020-11-26,1.152368046616264,1.145696333611614
2020-11-27,1.149386277532926,1.142890888419316
2020-11-29,1.1490359480374852,1.142542538699026
2020-11-30,1.1518738492971037,1.1452640901230864
2020-12-01,1.1570406107828968,1.1501027609077288
2020-12-02,1.1612806027612639,1.1541168970869924
2020-12-03,1.1615286722027736,1.1543608022213072
2020-12-04,1.1726241090076894,1.1648273920511065
2020-12-06,1.173847942895363,1.1659823038966803
2020-12-07,1.1663131090246686,1.1588721798317565
2020-12-08,1.1697461633909685,1.1621482320375287
2020-12-09,1.1671737635350932,1.1597070139362218
2020-12-10,1.1661657765331956,1.1587333668197248
2020-12-11,1.1604579142146583,1.1533628869505301
2020-12-13,1.1629264513815263,1.1557084132477562
2020-12-14,1.1612537527088067,1.1540927551327143
2020-12-15,1.1671724897140565,1.1596808953440216
2020-12-16,1.1684617766032481,1.1609335328561716
2020-12-17,1.1710973095737263,1.16339542948829
2020-12-18,1.1760717965872536,1.1680730908381893
2020-12-20,1.17308703714458,1.1652568543313344
2020-12-21,1.1659747870866575,1.1585453163346386
2020-12-22,1.1672788940768775,1.1597763238222265
2020-12-23,1.171378468456015,1.163645887351952
2020-12-24,1.1756103476647028,1.1676396336270378
2020-12-25,1.1756356987852372,1.1676648128653386
2020-12-27,1.1754199242945922,1.1674505013396674
2020-12-28,1.1814750765820752,1.1731806632746595
2020-12-29,1.177037292184908,1.168960134631858
2020-12-30,1.1754448599968768,1.1674677065868868
2020-12-31,1.1836158493311342,1.1751411946428534
2021-01-01,1.1838423763034949,1.175366099688751
2021-01-03,1.1838423763034949,1.175366099688751
2021-01-04,1.1706972802358504,1.163002941004832
2021-01-05,1.176071106357956,1.1680745226215916
2021-01-06,1.1808551472189712,1.172561359521238
2021-01-07,1.199745998715981,1.1903585666239436
2021-01-08,1.2146085410245575,1.2043808985701538
2021-01-10,1.2139663932221323,1.2037441579898123
2021-01-11,1.211714307140036,1.2016100651542299
2021-01-12,1.208255888040944,1.1983519749822207
2021-01-13,1.214950469269382,1.204632629532008
2021-01-14,1.2128593769355707,1.2025996204387046
2021-01-15,1.2085867788709668,1.1985954715835099
2021-01-17,1.210310895371657,1.2002198417595045
2021-01-18,1.214898502212447,1.2045806746167242
2021-01-19,1.2184555657920328,1.2078971631102995
2021-01-20,1.2285707923104803,1.2174429138317227
2021-01-21,1.2214635427811364,1.2107154691225241
2021-01-22,1.2210713672307592,1.2103461806915703
2021-01-24,1.2238882502341544,1.2130410410344479
2021-01-25,1.2321612384487484,1.2208857821572103
2021-01-26,1.2301589130169892,1.2190009800340191
2021-01-27,1.2090517255752364,1.1991446006889952
2021-01-28,1.2154958324326517,1.2052047022049226
2021-01-29,1.1982938377685692,1.1889748069021187
2021-01-31,1.1938576680439879,1.184573136898131
2021-02-01,1.229211974614626,1.217898555564817
2021-02-02,1.2477017267264965,1.2352691965707738
2021-02-03,1.2479570018837216,1.2354690031817712
2021-02-04,1.2641149392435005,1.2506889089912978
2021-02-05,1.254152911543309,1.2413036658138934
2021-02-07,1.2558532084827825,1.2429023987628733
2021-02-08,1.262648865874525,1.2492674681856728
2021-02-09,1.2537607980133887,1.2409133459913624
2021-02-10,1.2509173738172594,1.2383990892801138
2021-02-11,1.2521583177384885,1.2395387171752867
2021-02-12,1.260683559693381,1.2474665531875704
2021-02-14,1.2534529510702623,1.240786930281525
2021-02-15,1.2531134338991248,1.240366690355429
2021-02-16,1.2470196429600788,1.2344774845455615
2021-02-17,1.2589407370585672,1.2458179215812593
2021-02-18,1.2373700942947305,1.2254672195873801
2021-02-19,1.2218320664690858,1.21064790504185
2021-02-21,1.2206193562660232,1.2095063759793059
2021-02-22,1.1992603913648556,1.189046961265139
2021-02-23,1.1936148260406987,1.1841205106462374
2021-02-24,1.2018741979656355,1.1913924585392561
2021-02-25,1.1724130303511153,1.1621406163725039
2021-02-26,1.2005321290584217,1.1889737912770522
2021-02-28,1.197115979342951,1.1854918223889925
2021-03-01,1.21075190483192,1.198679406754587
2021-03-02,1.193654537916854,1.183410666918674
2021-03-03,1.1741314437075308,1.1641975873463342
2021-03-04,1.1790675898240401,1.1678819620807563
2021-03-05,1.2082256693276063,1.1953196945578322
2021-03-07,1.2066246782017263,1.193725305494726
2021-03-08,1.2025015837101847,1.1901166591050152
2021-03-09,1.2131180686800225,1.200550613995129
2021-03-10,1.2091105547927032,1.1974154033990525
2021-03-11,1.2092379728937421,1.1972874390091612
2021-03-12,1.2019188480141272,1.1897027121834558
2021-03-14,1.2018858262163068,1.1902994029359328
2021-03-15,1.210204644141085,1.1979554879916476
2021-03-16,1.2086464397127237,1.1964909026165453
2021-03-17,1.1922065049262465,1.1810236080735426
2021-03-18,1.1728615752701663,1.1628157085244926
2021-03-19,1.1842265942566657,1.1730296543626781
2021-03-21,1.1878494282032708,1.1764391431347123
2021-03-22,1.1916454645502652,1.180277247854711
2021-03-23,1.198357786828827,1.1870094370004995
2021-03-24,1.2143195841655645,1.2019564926570518
2021-03-25,1.2050881484324178,1.1933511013452607
2021-03-26,1.2115190774788982,1.1987574477385239
2021-03-28,1.2121796497990809,1.1994637196637927
2021-03-29,1.216027390109616,1.2025021664706546
2021-03-30,1.2165528946957471,1.2029948512551705
2021-03-31,1.216234242652929,1.202511761080298
2021-04-01,1.2260485411482187,1.2124565954106474
2021-04-02,1.2287112174818358,1.214561049688865
2021-04-04,1.2300798343625539,1.216183429128355
2021-04-05,1.2205359660290096,1.206839364463909
2021-04-06,1.2189817792180944,1.2061259998520277
2021-04-07,1.2236398488423073,1.210100121804056
2021-04-08,1.2249919282086672,1.2119023556616035
2021-04-09,1.2274825540869951,1.2139835823353415
2021-04-11,1.2271835692246404,1.2138411083892708
2021-04-12,1.2270034351487982,1.2133428660108656
2021-04-13,1.2314910874352312,1.218136041668457
2021-04-14,1.2295557649886497,1.2161970868645433
2021-04-15,1.2426053277762483,1.2289547809336716
2021-04-16,1.2440352690729268,1.2299954297940252
2021-04-18,1.2427175435531133,1.2288743187964077
2021-04-19,1.2355366340744915,1.222238951772747
2021-04-20,1.2273466262547443,1.2145433985548724
2021-04-21,1.234437810817142,1.2213102586340558
2021-04-22,1.2361581178800027,1.222974464438921
2021-04-23,1.2293518016524314,1.2164384513397175
2021-04-25,1.2277898395935576,1.2149701741792462
2021-04-26,1.2308840342048943,1.2179276299566097
2021-04-27,1.2265553015271098,1.2137163513244458
2021-04-28,1.2273588000901139,1.2145739126579995
2021-04-29,1.2264197642498704,1.2135965865147098
2021-04-30,1.2423018434128854,1.2286754701612117
2021-05-02,1.242743028320365,1.229089998580915
2021-05-03,1.2472378220728852,1.2333591155067634
2021-05-04,1.2500449046318969,1.2361708350725498
2021-05-05,1.2504921237895588,1.2365532580797325
2021-05-06,1.254394407758518,1.2401018530005656
2021-05-07,1.2386153510203022,1.2255411811456471
2021-05-09,1.2378389871805173,1.224674821162946
2021-05-10,1.2196626468952023,1.2078257804194716
2021-05-11,1.212321877099719,1.201041849170946
2021-05-12,1.2076558778137523,1.1964721756461674
2021-05-13,1.2140644463250778,1.2025390619108405
2021-05-14,1.221213920625756,1.2092013599671214
2021-05-16,1.2211145559586745,1.2091029727079046
2021-05-17,1.22282906793153,1.2107505576839326
2021-05-18,1.204713093076668,1.1937104783494152
2021-05-19,1.2123070209808562,1.2007265951998591
2021-05-20,1.2138221672681684,1.2023424964583704
2021-05-21,1.2215938661063321,1.209561424780428
2021-05-23,1.2221009526345048,1.2100384120218468
2021-05-24,1.2253301176677567,1.213181285353765
2021-05-25,1.234809665415756,1.2221916824214742
2021-05-26,1.239100633088639,1.2261441436263945
2021-05-27,1.2314983278339335,1.2189038041028544
2021-05-28,1.23504073267727,1.2222007352084387
2021-05-30,1.228704288422446,1.2162791256757717
2021-05-31,1.2232159822392399,1.2111856069544031
2021-06-01,1.2245560842856769,1.2122905531669208
2021-06-02,1.2316129402061897,1.219039197023733
2021-06-03,1.2250843773003601,1.212799437317273
2021-06-04,1.2393776558093554,1.2263532053785453
2021-06-06,1.2371522446607934,1.2243273141458701
2021-06-07,1.2376594366884792,1.2247432973203414
2021-06-08,1.2428061659557075,1.2297776077013824
2021-06-09,1.2525464843957204,1.239085455749063
2021-06-10,1.2588248974015384,1.2450396711869822
2021-06-11,1.2577949269042243,1.2439441853586917
2021-06-13,1.2555204440081205,1.241694748894299
2021-06-14,1.2485269257595786,1.2351236107012225
2021-06-15,1.2445684945995623,1.2314532508489788
2021-06-16,1.242307873298832,1.2293009536736763
2021-06-17,1.2519168711541808,1.2382634050873926
2021-06-18,1.2687641262936986,1.2543646503220847
2021-06-20,1.2689218903160988,1.2546312453376365
2021-06-21,1.2536706697613158,1.2402778095851252
2021-06-22,1.25110681900793,1.237868501799746
2021-06-23,1.2513140979250061,1.238121479527876
2021-06-24,1.254832624615704,1.2414341932808597
2021-06-25,1.2467931351831678,1.2338576391081
2021-06-27,1.2468710149587123,1.2339511631788393
2021-06-28,1.2538808725121886,1.2405189680621005
2021-06-29,1.2523040158596639,1.2390818537348154
2021-06-30,1.2590310657003494,1.2453866574122439
2021-07-01,1.2688783404950281,1.2546498412183702
2021-07-02,1.274912120222737,1.2602499763467425
2021-07-04,1.274425433423765,1.2597688866958061
2021-07-05,1.2741974544575094,1.2595548474324059
2021-07-06,1.288647014051836,1.273235892123231
