date,estimator,realized_vol,vol_window
2024-09-13,rolling_covariance,0.11263075,63
2024-09-20,rolling_covariance,0.10889488,63
2024-09-27,rolling_covariance,0.11492122,63
2024-10-04,rolling_covariance,0.11125827,63
2024-10-11,rolling_covariance,0.10804028,63
2024-10-18,rolling_covariance,0.08940190,63
2024-10-25,rolling_covariance,0.09836101,63
2024-11-01,rolling_covariance,0.07561583,63
2024-11-08,rolling_covariance,0.10212403,63
2024-11-15,rolling_covariance,0.06614345,63
2024-11-22,rolling_covariance,0.07308094,63
2024-11-29,rolling_covariance,0.05868538,63
2024-12-06,rolling_covariance,0.06862869,63
2024-12-13,rolling_covariance,0.05930969,63
2024-12-20,rolling_covariance,0.07883364,63
2024-12-27,rolling_covariance,0.07108645,63
2025-01-03,rolling_covariance,0.08741855,63
2025-01-10,rolling_covariance,0.07587208,63
2025-01-17,rolling_covariance,0.09092803,63
2025-01-24,rolling_covariance,0.07916967,63
2025-01-31,rolling_covariance,0.08589114,63
2025-02-07,rolling_covariance,0.07805524,63
2025-02-14,rolling_covariance,0.08322130,63
2025-02-21,rolling_covariance,0.07790111,63
2025-02-28,rolling_covariance,0.07053375,63
2025-03-07,rolling_covariance,0.06350186,63
2025-03-14,rolling_covariance,0.06719802,63
2025-03-21,rolling_covariance,0.06491707,63
2025-03-28,rolling_covariance,0.07262311,63
2025-04-04,rolling_covariance,0.08272037,63
2025-04-11,rolling_covariance,0.13272582,63
2025-04-18,rolling_covariance,0.12176998,63
2025-04-25,rolling_covariance,0.13592008,63
2025-05-02,rolling_covariance,0.11416605,63
2025-05-09,rolling_covariance,0.13023036,63
2025-05-16,rolling_covariance,0.10627873,63
2025-05-23,rolling_covariance,0.10456272,63
2025-05-30,rolling_covariance,0.10948126,63
2025-06-06,rolling_covariance,0.09155300,63
2025-06-13,rolling_covariance,0.09913894,63
2025-06-20,rolling_covariance,0.08458254,63
2025-06-27,rolling_covariance,0.08913200,63
2025-07-04,rolling_covariance,0.07287060,63
2025-07-11,rolling_covariance,0.09382636,63
2025-07-18,rolling_covariance,0.08348824,63
2025-07-25,rolling_covariance,0.08040297,63
2025-08-01,rolling_covariance,0.07947682,63
2025-08-08,rolling_covariance,0.07129117,63
2025-08-15,rolling_covariance,0.07487570,63
2025-08-22,rolling_covariance,0.07618441,63
2025-08-29,rolling_covariance,0.06804903,63
2025-09-05,rolling_covariance,0.07210550,63
2025-09-12,rolling_covariance,,63
2025-09-19,rolling_covariance,0.09064603,63
2025-09-26,rolling_covariance,0.05750673,63
2025-10-03,rolling_covariance,0.08707793,63
2025-10-10,rolling_covariance,0.06916767,63
2025-10-17,rolling_covariance,0.09918583,63
2025-10-24,rolling_covariance,0.06635114,63
2025-10-31,rolling_covariance,0.07054139,63
