date,vix,rv252,vx1,spread,signal,position,vx_return,pnl
2022-03-31,20.56,13.915423947071995,23.47,6.644576052928004,-1.0,-1.0,0.06150378959428737,0.06150378959428737
2022-04-01,19.63,13.911337340795846,22.33,5.718662659204153,-1.0,-1.0,-0.04979194401086584,-0.04979194401086584
2022-04-04,18.57,13.941393961691825,20.96,4.628606038308176,-1.0,-1.0,-0.06331520639922505,-0.06331520639922505
2022-04-05,21.03,13.987316743904055,23.26,7.0426832560959465,-1.0,-1.0,0.10411928763767708,0.10411928763767708
2022-04-06,22.1,14.055013537376313,23.7,8.044986462623688,-1.0,-1.0,0.01873990105056711,0.01873990105056711
2022-04-07,21.55,14.046834971125657,22.98,7.503165028874344,-1.0,-1.0,-0.030850775720475898,-0.030850775720475898
2022-04-08,21.16,14.046295136552988,22.85,7.113704863447012,-1.0,-1.0,-0.0056731550803958974,-0.0056731550803958974
2022-04-11,24.37,14.07584414194501,24.7,10.29415585805499,-1.0,-1.0,0.07785212629371774,0.07785212629371774
2022-04-12,24.26,13.984394283369719,25.06,10.275605716630283,-1.0,-1.0,0.014469705833990432,0.014469705833990432
2022-04-13,21.82,13.995211679795503,22.69,7.824788320204497,-1.0,-1.0,-0.0993486506761716,-0.0993486506761716
2022-04-14,22.7,14.041992109677162,23.42,8.658007890322837,-1.0,-1.0,0.031666059377820854,0.031666059377820854
2022-04-18,22.17,14.099300165132888,22.95,8.070699834867114,-1.0,-1.0,-0.020272421663017237,-0.020272421663017237
2022-04-19,21.37,14.117691811572666,21.15,7.252308188427335,-1.0,-1.0,-0.0816780310142673,-0.0816780310142673
2022-04-20,20.32,14.130750425037498,22.99,6.189249574962503,-1.0,-1.0,0.08341943328280355,0.08341943328280355
2022-04-21,22.68,14.287719859789208,24.69,8.392280140210792,-1.0,-1.0,0.07133896458199773,0.07133896458199773
2022-04-22,28.21,14.586266170710715,27.99,13.623733829289286,-1.0,-1.0,0.12544900017027416,0.12544900017027416
2022-04-25,27.02,14.586894106048403,27.26,12.433105893951597,-1.0,-1.0,-0.026426877258975523,-0.026426877258975523
2022-04-26,33.52,14.847967006421205,30.3,18.672032993578796,-1.0,-1.0,0.10572728624693672,0.10572728624693672
2022-04-27,31.6,14.87779821448266,30.82,16.722201785517342,-1.0,-1.0,0.017016117376646545,0.017016117376646545
2022-04-28,29.99,14.892695695142521,29.24,15.097304304857477,-1.0,-1.0,-0.05262619501039234,-0.05262619501039234
2022-04-29,33.4,15.104937712862899,31.65,18.2950622871371,-1.0,-1.0,0.07920051370860781,0.07920051370860781
2022-05-02,32.34,15.028637909929204,30.95,17.3113620900708,-1.0,-1.0,-0.022365149459580458,-0.022365149459580458
2022-05-03,29.25,15.044243743606318,28.89,14.205756256393682,-1.0,-1.0,-0.06887748465246091,-0.06887748465246091
2022-05-04,25.42,15.271699708646905,25.76,10.148300291353097,-1.0,-1.0,-0.11467261324199107,-0.11467261324199107
2022-05-05,31.2,15.618194425439555,31.33,15.581805574560445,-1.0,-1.0,0.19575320372794724,0.19575320372794724
2022-05-06,30.19,15.639916457610045,30.81,14.550083542389956,-1.0,-1.0,-0.016736792355523722,-0.016736792355523722
2022-05-09,34.75,15.762321181735459,33.82,18.98767881826454,-1.0,-1.0,0.09321303086185795,0.09321303086185795
2022-05-10,32.99,15.761663792005892,32.25,17.22833620799411,-1.0,-1.0,-0.04753430022865279,-0.04753430022865279
2022-05-11,32.56,15.773227345883997,32.16,16.786772654116007,-1.0,-1.0,-0.002794598931016079,-0.002794598931016079
2022-05-12,31.77,15.70245539217745,31.25,16.067544607822548,-1.0,-1.0,-0.028704068128354798,-0.028704068128354798
2022-05-13,28.87,15.794112798764665,28.82,13.075887201235336,-1.0,-1.0,-0.08094978561103483,-0.08094978561103483
2022-05-16,27.47,15.796188344962584,27.59,11.673811655037415,-1.0,-1.0,-0.04361620234218133,-0.04361620234218133
2022-05-17,26.1,15.913728669306701,26.6,10.1862713306933,-1.0,-1.0,-0.0365421724415409,-0.0365421724415409
2022-05-18,30.96,16.578820727349537,31.52,14.381179272650463,-1.0,-1.0,0.16971104920202462,0.16971104920202462
2022-05-19,29.35,16.576790105122306,29.29,12.773209894877695,-1.0,-1.0,-0.07337610415003626,-0.07337610415003626
2022-05-20,29.43,16.57684539193356,29.42,12.85315460806644,-1.0,-1.0,0.004428554333649526,0.004428554333649526
2022-05-23,28.48,16.603261959315816,29.08,11.876738040684184,-1.0,-1.0,-0.011624062507972877,-0.011624062507972877
2022-05-24,29.45,16.60347685790733,29.19,12.846523142092668,-1.0,-1.0,0.003775532200704923,0.003775532200704923
2022-05-25,28.37,16.60093175211076,28.49,11.76906824788924,-1.0,-1.0,-0.024273036356206923,-0.024273036356206923
2022-05-26,27.5,16.738567711968315,28.06,10.761432288031685,-1.0,-1.0,-0.015208073835502045,-0.015208073835502045
2022-05-27,25.72,16.959624417528595,26.87,8.760375582471404,-1.0,-1.0,-0.04333465204691489,-0.04333465204691489
2022-05-31,26.19,16.963120858781984,26.41,9.226879141218017,-1.0,-1.0,-0.017267696318358894,-0.017267696318358894
2022-06-01,25.69,17.022992687028477,26.19,8.667007312971524,-1.0,-1.0,-0.008365067789420255,-0.008365067789420255
2022-06-02,24.72,17.178982386176624,25.6,7.541017613823374,-1.0,-1.0,-0.022785307034103752,-0.022785307034103752
2022-06-03,24.79,17.262454297308686,25.96,7.527545702691313,-1.0,-1.0,0.013964540350372534,0.013964540350372534
2022-06-06,25.07,17.26147894900966,25.59,7.80852105099034,-1.0,-1.0,-0.014355241664191887,-0.014355241664191887
2022-06-07,24.02,17.273857462895755,24.68,6.7461425371042445,-1.0,-1.0,-0.03620845113451043,-0.03620845113451043
2022-06-08,23.96,17.283485089010156,24.7,6.6765149109898445,-1.0,-1.0,0.0008100445967444969,0.0008100445967444969
2022-06-09,26.09,17.422710521760635,26.42,8.667289478239365,-1.0,-1.0,0.06731805546024772,0.06731805546024772
2022-06-10,27.75,17.63799484613097,28.29,10.112005153869031,-1.0,-1.0,0.06838708621929657,0.06838708621929657
2022-06-13,34.02,17.831982893991373,33.47,16.18801710600863,-1.0,-1.0,0.16814112990975927,0.16814112990975927
2022-06-14,32.69,17.83160755680388,32.58,14.858392443196117,-1.0,-1.0,-0.026950912049335862,-0.026950912049335862
2022-06-15,29.62,17.877712617998025,30.03,11.742287382001976,-1.0,-1.0,-0.08150172117866017,-0.08150172117866017
2022-06-16,32.95,18.264978668909322,31.92,14.685021331090681,-1.0,-1.0,0.061035890586369046,0.061035890586369046
2022-06-17,31.13,18.26233924333971,30.9,12.867660756660289,-1.0,-1.0,-0.03247658867790859,-0.03247658867790859
2022-06-21,30.19,18.314118946140404,30.32,11.875881053859597,-1.0,-1.0,-0.018948623129528386,-0.018948623129528386
2022-06-22,28.95,18.31448868946904,29.01,10.635511310530958,-1.0,-1.0,-0.04416696264085829,-0.04416696264085829
2022-06-23,29.05,18.34997956062412,29.01,10.70002043937588,-1.0,-1.0,0.0,0.0
2022-06-24,27.23,18.67109185313039,28.48,8.558908146869609,-1.0,-1.0,-0.01843851158953802,-0.01843851158953802
2022-06-27,26.95,18.67372992965393,27.41,8.276270070346069,-1.0,-1.0,-0.03829417622908027,-0.03829417622908027
2022-06-28,28.36,18.782068713705755,28.33,9.577931286294245,-1.0,-1.0,0.033013403527730745,0.033013403527730745
2022-06-29,28.16,18.78129462060366,28.33,9.37870537939634,-1.0,-1.0,0.0,0.0
2022-06-30,28.71,18.786309333735872,28.56,9.923690666264129,-1.0,-1.0,0.008085823628958266,0.008085823628958266
2022-07-01,26.7,18.81243108715169,27.69,7.887568912848309,-1.0,-1.0,-0.03093580028851317,-0.03093580028851317
2022-07-05,27.54,18.831265509957966,27.73,8.708734490042033,-1.0,-1.0,0.0014435224448163808,0.0014435224448163808
2022-07-06,26.73,18.846092330063357,27.2,7.883907669936644,-1.0,-1.0,-0.01929788632573537,-0.01929788632573537
2022-07-07,26.08,18.879353536017348,26.85,7.20064646398265,-1.0,-1.0,-0.012951152347077777,-0.012951152347077777
2022-07-08,24.64,18.863566116362808,26.05,5.776433883637193,-1.0,-1.0,-0.03024805275549758,-0.03024805275549758
2022-07-11,26.17,18.87848853657232,27.19,7.291511463427682,-1.0,-1.0,0.04283149044500334,0.04283149044500334
2022-07-12,27.29,18.875931582631143,27.39,8.414068417368856,-1.0,-1.0,0.007328724630607297,0.007328724630607297
2022-07-13,26.82,18.86129007799222,26.86,7.958709922007781,-1.0,-1.0,-0.019539792179894988,-0.019539792179894988
2022-07-14,26.4,18.87560374688167,26.87,7.524396253118329,-1.0,-1.0,0.00037223153230803163,0.00037223153230803163
2022-07-15,24.23,18.881754937953364,25.21,5.348245062046637,-1.0,-1.0,-0.06376968142757145,-0.06376968142757145
2022-07-18,25.3,18.861135489405054,25.7,6.4388645105949465,-1.0,-1.0,0.019250250701345895,0.019250250701345895
2022-07-19,24.5,19.041305530388865,24.83,5.458694469611135,-1.0,-1.0,-0.034438392381098915,-0.034438392381098915
2022-07-20,23.88,19.03945254909892,26.27,4.840547450901077,-1.0,-1.0,0.05637500417737318,0.05637500417737318
2022-07-21,23.11,18.981960171657406,25.74,4.128039828342594,-1.0,-1.0,-0.02038140152946788,-0.02038140152946788
2022-07-22,23.03,18.987324898610474,25.5,4.042675101389527,-1.0,-1.0,-0.00936775000360024,-0.00936775000360024
2022-07-25,23.36,18.913446187266448,25.21,4.446553812733551,-1.0,-1.0,-0.01143771096455204,-0.01143771096455204
2022-07-26,24.69,18.912275032985207,25.95,5.7777249670147945,-1.0,-1.0,0.028930868412069266,0.028930868412069266
2022-07-27,23.24,18.929297216669763,25.0,4.310702783330235,-1.0,-1.0,-0.03729578474369699,-0.03729578474369699
2022-07-28,22.33,19.00755436189371,23.67,3.322445638106288,-1.0,-1.0,-0.054667401342308075,-0.054667401342308075
2022-07-29,21.33,19.009275356663778,23.42,2.32072464333622,-1.0,-1.0,-0.01061806535632126,-0.01061806535632126
2022-08-01,22.84,18.99023109181747,24.21,3.8497689081825293,-1.0,-1.0,0.03317541278039604,0.03317541278039604
2022-08-02,23.93,18.989834106368047,24.61,4.940165893631953,-1.0,-1.0,0.01638709345299727,0.01638709345299727
2022-08-03,21.95,19.040259534692897,23.16,2.9097404653071024,-1.0,-1.0,-0.06072621169816994,-0.06072621169816994
2022-08-04,21.44,19.035205791506897,23.2,2.4047942084931044,-1.0,-1.0,0.0017256259674698349,0.0017256259674698349
