date,baseline,vrp_core
2020-06-09,-0.005173976409686,-0.0051400959047662
2020-06-10,-0.012843670526036,-0.0128070031389492
2020-06-11,-0.0158006387710748,-0.015896210566432
2020-06-12,0.006786247636545,0.0068081463754841
2020-06-14,-0.0075455500245412,-0.0075640992702459
2020-06-15,0.0183135052771632,0.018354372315483
2020-06-16,0.0040419006261747,0.0040623972770119
2020-06-17,0.0007117586613052,0.0007370670718889
2020-06-18,0.0019941929612581,0.0020448038876537
2020-06-19,0.0008401634878798,0.0008890897857254
2020-06-21,-0.0077140739077069,-0.0077506287276745
2020-06-22,0.0100034898186669,0.0100703103970449
2020-06-23,-0.0083482088199986,-0.0083903755978308
2020-06-24,-0.0226670743258381,-0.0227764394624102
2020-06-25,0.0052640395555407,0.0053051166333677
2020-06-26,-0.0158444337138298,-0.0159008820076757
