,risk_scalar_applied
2023-09-22,0.9999964436329573
2023-09-29,0.9999993670430728
2023-10-06,0.9999998873472656
2023-10-13,0.9999999799502336
2023-10-20,0.9999999964315722
2023-10-27,0.9999999993648964
2023-11-03,0.8974609373869652
2023-11-10,0.8584470271863032
2023-11-17,0.8515033893600624
2023-11-24,0.9646718678817104
2023-12-01,0.9937123514857832
2023-12-08,0.998880933650668
2023-12-15,0.8853965333572601
2023-12-22,0.942103045121446
2023-12-29,0.8663923632552575
2024-01-05,0.9195149846396756
2024-01-12,0.8783614660814856
2024-01-19,0.9694520285091316
2024-01-26,0.9945631173787004
2024-02-02,0.9990323517014336
2024-02-09,0.9998277793921742
2024-02-16,0.9999693484318593
2024-02-23,0.9999945446794009
2024-03-01,0.9624990290701376
2024-03-08,0.9356474102031568
