,risk_scalar_applied
2021-10-15,0.9996203675414751
2021-10-22,0.9999324335785487
2021-10-29,0.999987974628604
2021-11-05,0.9999978597422492
2021-11-12,0.9999996190801025
2021-11-19,0.999999932204442
2021-11-26,0.9999999879338473
2021-12-03,0.8855957009774841
2021-12-10,0.856335270022604
2021-12-17,0.8511275419547067
2021-12-24,0.8502006782434036
2021-12-31,0.8500357164158794
2022-01-07,0.8500063567546817
2022-01-14,0.8500011313657625
2022-01-21,0.8500002013587992
2022-01-28,0.8500000358375402
2022-02-04,0.8500000063783123
2022-02-11,0.8500000011352026
2022-02-18,0.8500000002020417
2022-02-25,0.8500000000359592
2022-03-04,0.8500000000064001
2022-03-11,0.8500000000011391
2022-03-18,0.6449218750002026
2022-03-25,0.5668940544128779
2022-04-01,0.628006778727292
2022-04-08,0.8104899759990712
2022-04-15,0.7679680645760065
2022-04-22,0.5887936325868919
2022-04-29,0.5569044331435167
2022-05-06,0.5512288407621153
2022-05-13,0.5502187072547808
2022-05-20,0.7234764251925624
2022-05-27,0.6540440219642034
2022-06-03,0.5685176005888439
2022-06-10,0.553295735065739
2022-06-17,0.5505865700348935
2022-06-24,0.5501043968641205
2022-07-01,0.5500185803989122
2022-07-08,0.5500033069118182
2022-07-15,0.5500005885592567
2022-07-22,0.567797956313403
2022-07-29,0.5531676538458181
2022-08-05,0.5505637743294927
2022-08-12,0.9200100076870606
2022-08-19,0.871359203028288
2022-08-26,0.8538014792499077
2022-09-02,0.8506765816340779
2022-09-09,0.8501204169949323
2022-09-16,0.8500214316380141
2022-09-23,0.8500038143711212
2022-09-30,0.8500006788761102
2022-10-07,0.8500001208253624
2022-10-14,0.7750000215043187
2022-10-21,0.5900451698429316
2022-10-28,0.557127179886596
2022-11-04,0.40826311380305874
2022-11-11,0.5247738793853589
2022-11-18,0.5455102924980288
2022-11-25,0.5492009285232088
2022-12-02,0.5498577824446824
2022-12-09,0.5499746883306089
2022-12-16,0.9199051630354038
2022-12-23,0.9857448398078148
2022-12-30,0.9974628877489983
2023-01-06,0.9993979313701236
2023-01-13,0.9998571262919337
2023-01-20,0.9999745715495165
2023-01-27,0.9999954742821283
2023-02-03,0.999999194519451
2023-02-10,0.9999998566417675
2023-02-17,0.9999999744853145
2023-02-24,0.8855956985839343
2023-03-03,0.9796384922528536
2023-03-10,0.996376089075276
2023-03-17,0.9993550217128604
2023-03-24,0.6495434108468445
2023-03-31,0.42471121740902096
2023-04-07,0.5277012884499943
2023-04-14,0.7926377537304801
2023-04-21,0.8772907525560352
2023-04-28,0.9781603902864623
2023-05-05,0.9961130186813552
2023-05-12,0.9993082008346456
2023-05-19,0.9998768746114396
2023-05-26,0.9999780863261083
2023-06-02,0.9999960998368489
2023-06-09,0.9343743058547517
2023-06-16,0.8650168137129185
2023-06-23,0.8526726702140424
2023-06-30,0.8504756778774505
2023-07-07,0.8500846604425444
2023-07-14,0.9733182903961463
2023-07-21,0.9577512289303688
2023-07-28,0.8691774037817966
2023-08-04,0.7221631658586256
2023-08-11,0.7540788447048189
2023-08-18,0.8704280951635287
