date,tsmom_multihorizon
2021-07-19,-0.03457068194242664
2021-07-20,0.06479768971012632
2021-07-21,0.004502027684668632
2021-07-22,0.039843871188514346
2021-07-23,0.027408584706891382
2021-07-25,0.0036053383479827433
2021-07-26,-0.02513450595944919
2021-07-27,-0.025638449995869006
2021-07-28,-0.0007984896528608603
2021-07-29,-0.0717403119074086
2021-07-30,0.058142824636908626
2021-08-01,-0.0033590450886727664
2021-08-02,0.016276477267096984
2021-08-03,-0.00034480414580002157
2021-08-04,-0.001650989235870759
2021-08-05,-0.001985176296982267
2021-08-06,-0.003476861068880066
2021-08-08,0.004137391188490856
2021-08-09,0.0035009891844429717
2021-08-10,0.0027875863088317903
2021-08-11,-0.01386689672526354
2021-08-12,0.012502554068494508
2021-08-13,-0.016816472310295632
