,risk_scalar_applied
2022-08-05,0.9999999996409261
2022-08-12,0.9624999999360925
2022-08-19,0.6412139892464384
2022-08-26,0.5662341304103159
2022-09-02,0.5528893264328907
2022-09-09,0.779322831779682
2022-09-16,0.8374209825115694
2022-09-23,0.8477612051393882
2022-09-30,0.8496015426139195
2022-10-07,0.7186790831458856
2022-10-14,0.5800212528352906
2022-10-21,0.5553431380168278
2022-10-28,0.5509509637730146
2022-11-04,0.6814192511207343
2022-11-11,0.8199962485515174
2022-11-18,0.6395818518540177
2022-11-25,0.5659436450199168
2022-12-02,0.5528376262742967
2022-12-09,0.5505050365121977
2022-12-16,0.5500898856487775
2022-12-23,0.5500159977143455
2022-12-30,0.5500028472494527
2023-01-06,0.5500006756656417
2023-01-13,0.5500001603386241
2023-01-20,0.5500000285368305
2023-01-27,0.5500000050789429
2023-02-03,0.5500000009039427
2023-02-10,0.5500000001608824
2023-02-17,0.5500000000286336
2023-02-24,0.5500000000050962
2023-03-03,0.5500000000009071
2023-03-10,0.5500000000001616
2023-03-17,0.5500000000000287
2023-03-24,0.5500000000000052
2023-03-31,0.550000000000001
2023-04-07,0.5500000000000003
2023-04-14,0.5500000000000003
2023-04-21,0.5500000000000003
2023-04-28,0.5500000000000003
2023-05-05,0.6250000000000002
2023-05-12,0.6383483886718752
2023-05-19,0.812330560386181
2023-05-26,0.669858149053107
2023-06-02,0.5713321754540319
2023-06-09,0.5537966689223608
2023-06-16,0.5506757254991215
2023-06-23,0.5501202646213037
2023-06-30,0.5500214045187819
2023-07-07,0.5500038095444806
2023-07-14,0.8101569280170717
2023-07-21,0.9287120118467885
2023-07-28,0.8640090470303489
2023-08-04,0.8524933093957824
2023-08-11,0.8504437555052553
2023-08-18,0.8500789789461258
2023-08-25,0.8500140565555971
2023-09-01,0.8500025017649
2023-09-08,0.8500004452604034
2023-09-15,0.8500000792467858
2023-09-22,0.8875000141042253
2023-09-29,0.9799774195024366
2023-10-06,0.9964364108440615
2023-10-13,0.9993657576917288
2023-10-20,0.9342621184954274
2023-10-27,0.8649968467732342
2023-11-03,0.8901691165277558
2023-11-10,0.9804524623898276
2023-11-17,0.9965209582720177
2023-11-24,0.9993808053174563
2023-12-01,0.9131710466495181
2023-12-08,0.8612430891131589
2023-12-15,0.6231924345613995
2023-12-22,0.6183977746082179
2023-12-29,0.562173334396824
2024-01-05,0.5528887893148713
2024-01-12,0.5506855232456189
2024-01-19,0.5501220084096816
2024-01-26,0.550021714875649
2024-02-02,0.5816444897813349
2024-02-09,0.7290695393189924
2024-02-16,0.8284769761141468
2024-02-23,0.8461693641570346
2024-03-01,0.675880729118769
2024-03-08,0.7774821903143513
2024-03-15,0.6636558878757719
2024-03-22,0.5702283062161713
2024-03-29,0.8002066492264622
2024-04-05,0.841137853341331
2024-04-12,0.8484227282924391
2024-04-19,0.8497192795227511
2024-04-26,0.8499500377861537
2024-05-03,0.8499911077993424
2024-05-10,0.8499984173793264
2024-05-17,0.8499997183275219
2024-05-24,0.8499999498683505
2024-05-31,0.6765624910776435
2024-06-07,0.5725254042958015
2024-06-14,0.7828176317704197
2024-06-21,0.8380429818263272
2024-06-28,0.8478719076541487
2024-07-05,0.8496212452831725
2024-07-12,0.8499325897977131
2024-07-19,0.8499880024322591
2024-07-26,0.6765603646907024
2024-08-02,0.57252502584461
2024-08-09,0.4094777206642385
2024-08-16,0.4903831197178296
2024-08-23,0.5393894761411859
2024-08-30,0.6231115547136047
2024-09-06,0.5808101375454634
2024-09-13,0.7605616675465438
2024-09-20,0.8340818983499587
2024-09-27,0.8471669198967579
2024-10-04,0.6778893272960782
2024-10-11,0.6459304979489358
2024-10-18,0.5670735676281187
2024-10-25,0.5530387282228757
2024-11-01,0.5505408283384952
2024-11-08,0.5500962558248934
2024-11-15,0.5500171314688349
2024-11-22,0.5500030490333938
2024-11-29,0.5500005426624375
2024-12-06,0.5500000965822551
2024-12-13,0.5500000171895665
