date,SR3_SPREAD_R4_R3
2021-08-01,0.0
2021-08-02,5.0057557178018186e-05
2021-08-03,0.0
2021-08-04,-5.0037528146029686e-05
2021-08-05,-0.0001000950835704506
2021-08-06,-2.0030034630913462e-08
2021-08-09,2.0032039138584423e-08
2021-08-10,-0.00010013515040507848
2021-08-11,0.00010016522252720428
2021-08-12,-5.006757520253924e-05
2021-08-13,0.00010008257319371605
2021-08-15,0.0
2021-08-16,0.0
2021-08-17,-5.003252113877643e-05
2021-08-18,0.00010010010009997572
2021-08-19,-5.004504053640613e-05
2021-08-20,0.0
2021-08-23,0.0
2021-08-24,5.003001801073825e-05
2021-08-25,1.5024029131893712e-08
2021-08-26,0.0
2021-08-27,5.00750855878529e-05
2021-08-29,0.0
2021-08-30,5.003752814625173e-05
2021-08-31,-0.0001000700490343398
2021-09-01,5.004003202557783e-05
2021-09-02,5.002501250639391e-05
2021-09-03,1.0013012863296922e-08
2021-09-06,0.0
2021-09-07,-5.0035024517280924e-05
2021-09-08,0.0
2021-09-09,5.003752814625173e-05
2021-09-10,-5.0035024517280924e-05
2021-09-12,0.0
2021-09-13,0.0
2021-09-14,0.0
2021-09-15,-0.0005004253440203943
2021-09-16,-5.0072605277784454e-05
2021-09-17,5.0035024517280924e-05
2021-09-20,7.516904587667739e-08
2021-09-21,0.0
2021-09-22,-0.00015032302540818332
2021-09-23,-0.00015030054695863715
2021-09-24,-0.00010029565106284277
2021-09-26,-5.767579625004515e-08
2021-09-27,5.005005005009888e-05
2021-09-28,0.0
2021-09-29,5.016290806314494e-05
2021-09-30,5.015537106345391e-05
2021-10-01,5.014783582502069e-05
2021-10-03,5.0092671442181214e-05
2021-10-04,-5.0135284047736484e-05
2021-10-05,-5.0142816519382905e-05
2021-10-06,-5.015035075139895e-05
2021-10-07,-5.015788674522792e-05
2021-10-08,-5.027578843441738e-05
2021-10-10,-5.01779991630702e-05
2021-10-11,-5.03059993027799e-05
2021-10-12,0.0
2021-10-13,-0.00015059437708797585
2021-10-14,-1.406462978303935e-07
2021-10-15,-0.00020090327696919985
2021-10-17,-2.4130142306511004e-07
2021-10-18,-5.01831685653098e-05
2021-10-19,5.043461649845149e-05
2021-10-20,5.017561465114895e-05
2021-10-21,-0.00020147155215810564
2021-10-22,4.994413665149189e-05
2021-10-24,0.0
2021-10-25,2.567430703592777e-07
2021-10-26,0.0
2021-10-27,-0.00020142226271258057
2021-10-28,4.78535039816208e-07
2021-10-29,4.945570031955615e-05
2021-10-31,-0.00020142059296768267
2021-11-01,0.00020176896588952609
2021-11-02,5.107232385093141e-05
2021-11-03,-5.057071646608069e-05
2021-11-04,0.00020116332807740278
2021-11-05,0.00010082182075588086
2021-11-07,0.0
2021-11-08,-0.0002010545698444277
2021-11-09,5.06461798843727e-05
2021-11-10,-0.0003022558977948675
2021-11-11,-0.000151018163551897
2021-11-12,5.03621414711386e-05
2021-11-14,0.00010028581457155461
2021-11-15,-0.0001505446040444003
2021-11-16,0.0
2021-11-17,0.00010104425754109414
2021-11-18,-5.0130338881126946e-05
2021-11-19,-5.076238727330651e-05
2021-11-21,-5.0682083694963964e-05
2021-11-22,-0.000101299072125971
2021-11-23,0.00020136850514407278
2021-11-24,-5.101030165266529e-05
2021-11-25,0.0001513015374330351
2021-11-26,0.00030344474248833464
2021-11-28,-0.00015097494690741176
2021-11-29,5.1067109182012516e-05
2021-11-30,-0.00015242136566384623
2021-12-01,0.0001514723817424013
2021-12-02,-0.00015116176911056378
2021-12-03,5.064954506206476e-05
2021-12-05,-0.00010077460004787042
2021-12-06,0.00010000848847113719
2021-12-07,-0.0001012943498945873
2021-12-08,-4.988533503014203e-05
2021-12-09,-5.059191021117293e-05
2021-12-10,0.00020137877679093918
2021-12-12,5.018065034123609e-05
2021-12-13,-0.00010027298483095137
2021-12-14,-5.05691290991761e-05
2021-12-15,-4.744021567026913e-06
2021-12-16,0.0003030278444864365
2021-12-17,5.0028260014323145e-05
2021-12-19,2.5086293176102004e-07
2021-12-20,0.00015095108378304634
2021-12-21,-0.00010096844204443567
2021-12-22,-0.00010109021724047373
2021-12-23,-4.310567875975835e-07
2021-12-26,-5.0324593628969794e-05
2021-12-27,5.005569952276634e-05
2021-12-28,0.00010075066579895431
2021-12-29,-5.057834244825976e-05
2021-12-30,3.3505711760639656e-07
2021-12-31,-8.373052817756133e-08
2022-01-02,-1.6747792797033867e-07
2022-01-03,-5.042101547936273e-05
2022-01-04,-5.0078364899563965e-05
2022-01-05,-0.00010189752422762322
2022-01-06,-5.092155514985208e-05
2022-01-07,-0.00010074044225061307
2022-01-09,-0.0001011369776322546
2022-01-10,4.9836288136595464e-05
2022-01-11,5.1011260071787135e-05
2022-01-12,-9.153135992479022e-07
2022-01-13,1.0179388065800765e-07
2022-01-14,-0.00010210931877407958
2022-01-16,4.9779001639715936e-05
2022-01-17,-5.0543340914810386e-05
2022-01-18,-1.284935509882068e-06
2022-01-19,5.068378076722446e-05
2022-01-20,5.1303933285451464e-05
2022-01-21,1.0200990030462265e-07
2022-01-23,-4.0799839151617334e-07
2022-01-24,0.00015269642818194207
2022-01-25,0.00010048526053785256
2022-01-26,-0.0003060693362251232
2022-01-27,-0.00010179029081758273
2022-01-28,0.00015195259079159307
2022-01-30,-5.156460463418e-05
2022-01-31,0.00010133765707331932
2022-02-01,-4.9764520773987186e-05
2022-02-02,-4.9926495482965905e-05
2022-02-03,-0.00025429251890307647
2022-02-04,-2.7099191484136753e-06
2022-02-06,-5.084604337424192e-05
2022-02-07,0.00010231096762924885
2022-02-08,-5.174902467075526e-05
2022-02-09,-5.1090066954806446e-05
2022-02-10,9.448876718931576e-05
2022-02-11,0.000153950803183589
2022-02-13,-5.085435313256781e-05
2022-02-14,-0.00015334763442376165
2022-02-15,-0.00015181671971653543
2022-02-16,2.1504496834356956e-06
2022-02-17,0.0001031723548228225
2022-02-18,-5.067139599712611e-05
2022-02-20,5.103942541340167e-05
2022-02-21,-0.0001518701551701529
2022-02-22,-3.472584271246859e-06
2022-02-23,-0.0001524263340964005
2022-02-24,-0.0002530542873222519
2022-02-25,2.9902180553875723e-07
2022-02-27,0.00010497142314735974
2022-02-28,5.265132920095894e-05
2022-03-01,0.0003074260669542195
2022-03-02,-0.00010561537036846147
2022-03-03,-1.8354010205001714e-06
2022-03-04,0.0001030495149945132
2022-03-06,0.00010292413401447043
2022-03-07,-5.314957248081509e-05
2022-03-08,-0.0003566401455075141
2022-03-09,-0.00025557256933494976
2022-03-10,-5.148904363816431e-05
2022-03-11,-5.2457257285420944e-05
2022-03-13,-0.0001027838008016424
2022-03-14,-5.258687013265373e-05
2022-03-15,5.1128854072102214e-05
2022-03-16,3.687661609363957e-05
2022-03-17,0.00015319444963168838
2022-03-18,0.00020249448520504032
2022-03-20,-0.00010268880741348685
2022-03-21,-5.651605187639852e-05
2022-03-22,-0.00010415439588173925
2022-03-23,0.00020678104594895608
2022-03-24,0.00015135868171167743
2022-03-25,-0.00026009288234019046
2022-03-27,0.0
2022-03-28,-0.00020658845610899146
2022-03-29,-0.00020576131687233268
2022-03-30,3.00479890924521e-06
2022-03-31,4.9465062070486177e-05
2022-04-01,-0.00026133792600946393
2022-04-03,-0.00010376920337606954
2022-04-04,0.00026090803252909467
2022-04-05,-0.00036439595240445044
2022-04-06,0.0003630083506478421
2022-04-07,-5.113918169707965e-05
2022-04-08,-0.00020798944561184474
2022-04-10,-0.0001038441580032412
2022-04-11,0.0001038976155629534
2022-04-12,0.00031385035309083875
2022-04-13,0.000156136524259054
2022-04-14,-0.00026014519547590265
2022-04-17,-5.2393876701861686e-05
2022-04-18,5.297845463902995e-05
2022-04-19,-0.0003659708042053067
2022-04-20,0.00020751078772729414
2022-04-21,-5.822069409910924e-05
2022-04-22,0.0005682877610317938
2022-04-24,-5.1283634305621106e-05
2022-04-25,0.00020844812600362417
2022-04-26,0.0004148875281597686
2022-04-27,-0.00015600409374827429
2022-04-28,-0.00010394586962003682
2022-04-29,-4.008755025597388e-06
2022-05-01,-5.20835476893744e-05
2022-05-02,-0.0003094305439136358
2022-05-03,4.947731418469825e-05
2022-05-04,5.66409174855842e-05
2022-05-05,-0.0003115727246383315
2022-05-06,-5.218731534495369e-05
2022-05-08,-5.202529693359992e-05
2022-05-09,0.0005233243528230958
2022-05-10,0.00036021812013886656
2022-05-11,-5.2918756901165764e-05
2022-05-12,0.0005168277145435329
2022-05-13,-5.152248956663552e-05
2022-05-15,-5.187479053014865e-05
2022-05-16,0.00010331001274366258
2022-05-17,-0.0003117706984169244
2022-05-18,0.00010411553387834616
2022-05-19,4.989307755831618e-07
2022-05-20,0.00010363403874724675
2022-05-22,5.083582091602867e-05
2022-05-23,-0.00015434480629727965
2022-05-24,0.0003121326922297385
2022-05-25,0.00010330673025182868
2022-05-26,-5.147740142075197e-05
2022-05-27,-5.1480051480035094e-05
2022-05-29,-5.159114212938132e-05
2022-05-30,-0.00010497584888868872
2022-05-31,0.00010273229417645524
2022-06-01,-0.0004651183838543238
2022-06-02,-5.173234285371642e-05
2022-06-03,-5.229272306905841e-05
2022-06-05,-5.147740142086299e-05
2022-06-06,-0.00015628949392865188
2022-06-07,6.065231241692004e-07
2022-06-08,-5.300633679661271e-05
2022-06-09,-0.00025957955671029875
2022-06-10,-0.00016602238565943672
2022-06-12,-0.00010731364375249353
2022-06-13,0.0003499044818817687
2022-06-14,0.0005752420377838074
2022-06-15,0.0033827775336844335
2022-06-16,-0.000363139850303007
2022-06-17,0.0004151477610012666
2022-06-19,0.00015545051488519146
2022-06-20,-0.0002599561575783449
2022-06-21,-0.0002071332785307245
2022-06-22,-0.0001535257684712743
2022-06-23,-0.00015422451730162656
2022-06-24,0.0003099858818438328
2022-06-26,0.00010361083769372392
2022-06-27,-0.000259434539825798
2022-06-28,-0.00020722711668463845
2022-06-29,-0.00031018851888942045
2022-06-30,-0.0002574532270822605
2022-07-01,-0.00046132300720613806
2022-07-03,-5.18128614218627e-05
2022-07-04,0.00020421285098115582
2022-07-05,-0.00020388787537362063
2022-07-06,0.0005125495481634879
2022-07-07,0.00015379393495651428
2022-07-08,-5.4108555410326e-05
2022-07-10,5.145141689844035e-05
2022-07-11,-0.00020465947348879965
2022-07-12,1.5652375939811947e-06
2022-07-13,-0.00041619940829240587
2022-07-14,0.000363109581567711
2022-07-15,0.00010411937982857111
2022-07-17,5.1569917694282985e-05
2022-07-18,0.00015493174984171354
2022-07-19,0.0002571640765446359
2022-07-20,-0.00015498199474350827
2022-07-21,-0.00020440271442079272
2022-07-22,-0.0001518256106158855
2022-07-24,-5.2371570229525766e-05
2022-07-25,0.005630021399731344
2022-07-26,5.159958720324376e-05
2022-07-27,0.00023299795968911852
2022-07-28,0.0004641567818464143
2022-07-29,-0.00020619619568029712
2022-07-31,-0.0001031193606598757
2022-08-01,0.0003609549837571002
2022-08-02,-0.000773195876288657
2022-08-03,0.0
2022-08-04,0.00020634511220007923
2022-08-05,-0.0008783248433966717
2022-08-07,-0.00010328977947626772
2022-08-08,0.00036155157274930794
2022-08-09,-0.00025815778603888173
2022-08-10,0.0006197386768580504
2022-08-11,0.00015483870967747393
2022-08-12,-0.00010320982557543434
2022-08-14,5.161023947164445e-05
2022-08-15,0.00025803787996059313
2022-08-16,-0.0001805799195129243
2022-08-17,0.0009175668497015677
2022-08-18,0.00038814996742586594
2022-08-19,0.00010319118747259548
2022-08-21,0.00010320183699263907
2022-08-22,0.00046445619920010284
2022-08-23,-7.744533650000385e-05
2022-08-24,0.0002839442436757267
2022-08-25,2.582044462817734e-05
2022-08-26,-0.0008273195683327073
2022-08-28,7.746733460711752e-05
2022-08-29,0.00020659556336033447
2022-08-30,7.748934521500939e-05
2022-08-31,-0.0006471634402549498
2022-09-01,-0.0003626631160407179
2022-09-02,-0.0006717825491564522
2022-09-04,-5.164088925613264e-05
2022-09-05,0.00018073377914329392
2022-09-06,0.0005939469063114267
2022-09-07,5.167825120788727e-05
2022-09-08,0.0003876069149074679
2022-09-09,-0.0002852553679262293
2022-09-11,2.5853822487764688e-05
2022-09-12,-0.0003371161871874584
2022-09-13,-0.0006011554973816002
2022-09-14,-0.0003634942379763251
2022-09-15,-0.0002595685337895004
2022-09-16,0.00031220362873773944
2022-09-18,2.5894660520942026e-05
2022-09-19,2.5705537866738126e-05
2022-09-20,-7.788050038948224e-05
2022-09-21,0.0012850153340446813
2022-09-22,-0.0003379871564881398
2022-09-23,-0.0004956811245487858
2022-09-25,0.0
2022-09-26,0.00013082221072702183
2022-09-27,-0.00033789052347033
2022-09-28,0.00044423040192675955
2022-09-29,-0.0004947881967947154
2022-09-30,0.0002599163003844662
2022-10-02,0.0
2022-10-03,7.793624814911304e-05
2022-10-04,0.00023382696804363778
2022-10-05,-0.00010455968662670401
2022-10-06,5.1979104400023957e-05
2022-10-07,0.0003638726445743812
2022-10-09,0.0
2022-10-10,-0.0010950274263171744
2022-10-11,0.000286018877245775
2022-10-12,7.802746566798469e-05
2022-10-13,-0.0002891005111529399
2022-10-14,-0.00041795099524577495
2022-10-16,-0.00013013377752324473
2022-10-17,0.0001304453163429864
2022-10-18,0.00013065405419543374
2022-10-19,-4.163112609700814e-05
2022-10-20,5.246314464080193e-05
