date,equity
2022-08-24,-1.4072217922740303e-33
2022-08-25,-1.3974063306497377e-33
2022-08-26,-1.4241379042866583e-33
2022-08-28,-1.4273245222623488e-33
2022-08-29,-1.3913539428715193e-33
2022-08-30,-1.3891321297729047e-33
2022-08-31,-1.3816279615132462e-33
2022-09-01,-1.3728397192440874e-33
2022-09-02,-1.3949411762944203e-33
2022-09-04,-1.3966791310744819e-33
2022-09-05,-1.3947229122188635e-33
2022-09-06,-1.3573816275931273e-33
2022-09-07,-1.3442966875894528e-33
2022-09-08,-1.3340239588992324e-33
2022-09-09,-1.3073862267505512e-33
2022-09-11,-1.308910900183006e-33
2022-09-12,-1.3037008165559744e-33
2022-09-13,-1.1800571683831011e-33
2022-09-14,-1.1854071080911003e-33
2022-09-15,-1.1904222780120465e-33
2022-09-16,-1.2122755744120733e-33
2022-09-18,-1.2051975030284958e-33
2022-09-19,-1.2041822827194299e-33
2022-09-20,-1.2158443310144081e-33
2022-09-21,-1.5236870413250883e-33
2022-09-22,-1.5201709189962563e-33
2022-09-23,-1.5509395198665402e-33
2022-09-25,-1.5389084316082579e-33
2022-09-26,-1.6132255368298438e-33
2022-09-27,-1.6630479916350765e-33
2022-09-28,-1.648144720972217e-33
2022-09-29,-1.6475629511065923e-33
2022-09-30,-1.649322536865062e-33
2022-10-02,-1.660560554999935e-33
2022-10-03,-1.664218177367773e-33
2022-10-04,-1.6613484883374383e-33
2022-10-05,-1.7075721718141082e-33
2022-10-06,-1.7678316298143413e-33
2022-10-07,-1.811982058486171e-33
2022-10-09,-1.8037457764021388e-33
2022-10-10,-1.811982058486171e-33
2022-10-11,-1.8075058182231123e-33
2022-10-12,-1.7875889413292625e-33
2022-10-13,-1.8973637109823085e-33
2022-10-14,-1.9092444191538538e-33
2022-10-16,-1.8981808920322146e-33
2022-10-17,-1.8821927193106072e-33
2022-10-18,-1.8787623721315538e-33
2022-10-19,-1.394353504183244e-33
2022-10-20,-1.6048912188604934e-33
2022-10-21,-1.621757844383383e-33
2022-10-23,-1.6243312078920217e-33
2022-10-24,-1.5821850255792867e-33
2022-10-25,-1.5772558447247493e-33
2022-10-26,-1.562802237380451e-33
2022-10-27,-1.5490472636178924e-33
2022-10-28,-1.5267082511932467e-33
2022-10-30,-1.5188100879546576e-33
2022-10-31,-1.6246067764898705e-33
2022-11-01,-1.655090568101709e-33
2022-11-02,-1.7106786586880076e-33
