,risk_scalar_computed,risk_scalar_applied
2022-05-13,0.9745798537363384,0.9745798537363384
2022-05-20,0.9954757601010232,0.9954757601010232
2022-05-27,0.9991947824984488,0.9991947824984488
2022-06-03,0.9998089181124248,0.9998089181124248
2022-06-10,0.9999546553723822,0.9999546553723822
2022-06-17,0.999991929630485,0.999991929630485
2022-06-24,0.9999985636476132,0.9999985636476132
2022-07-01,0.9999997443601344,0.9999997443601344
2022-07-08,0.9999999545015962,0.9999999545015962
2022-07-15,0.9999999919022616,0.9999999919022616
2022-07-22,0.8855957016837767,0.8855957016837767
2022-07-29,0.979638492804559,0.979638492804559
2022-08-05,0.9963760891734676,0.9963760891734676
2022-08-12,0.9993550217303364,0.9993550217303364
2022-08-19,0.9623852077249548,0.9623852077249548
2022-08-26,0.8700021524490948,0.8700021524490948
2022-09-02,0.8535599534021949,0.8535599534021949
2022-09-09,0.8881335952222168,0.8881335952222168
2022-09-16,0.9800901833293448,0.9800901833293448
2022-09-23,0.9964564803825908,0.9964564803825908
2022-09-30,0.9993693296384054,0.9993693296384054
2022-10-07,0.9998877542251948,0.9998877542251948
2022-10-14,0.9999800226636152,0.9999800226636152
2022-10-21,0.999996444463324,0.999996444463324
2022-10-28,0.99999936719086,0.99999936719086
2022-11-04,0.9343748873735686,0.9343748873735686
2022-11-11,0.8650169172107743,0.8650169172107743
2022-11-18,0.8526726886344372,0.8526726886344372
2022-11-25,0.850475681155885,0.850475681155885
2022-12-02,0.8500846610260352,0.8500846610260352
2022-12-09,0.9733182904999952,0.9733182904999952
2022-12-16,0.9577512289488518,0.9577512289488518
2022-12-23,0.8691774037850862,0.8691774037850862
2022-12-30,0.8534131658592109,0.8534131658592109
2023-01-06,0.8881074701932044,0.8881074701932044
2023-01-13,0.9800855336354604,0.9800855336354604
2023-01-20,0.9964556528369752,0.9964556528369752
2023-01-27,0.9993691823530652,0.9993691823530652
2023-02-03,0.9998877280115686,0.9998877280115686
2023-02-10,0.9999800179981526,0.9999800179981526
2023-02-17,0.999996443632972,0.999996443632972
2023-02-24,0.9999993670430752,0.9999993670430752
2023-03-03,0.999999887347266,0.999999887347266
2023-03-10,0.9999999799502336,0.9999999799502336
2023-03-17,0.9999999964315724,0.9999999964315724
2023-03-24,0.9343749993648964,0.9343749993648964
2023-03-31,0.8650169371428247,0.8650169371428247
2023-04-07,0.975975914838164,0.975975914838164
2023-04-14,0.995724228983648,0.995724228983648
2023-04-21,0.9992390046213572,0.9992390046213572
2023-04-28,0.9998645591721116,0.9998645591721116
2023-05-05,0.9999758944424976,0.9999758944424976
2023-05-12,0.8855914128536575,0.8855914128536575
