date,multiplier,profile
2023-05-12,0.85556638,H
2023-05-19,0.85473142,H
2023-05-26,0.85402171,H
2023-06-02,0.87291845,H
2023-06-09,0.88898069,H
2023-06-16,0.90263358,H
2023-06-23,0.91423855,H
2023-06-30,0.92410276,H
2023-07-07,0.93248735,H
2023-07-14,0.93961425,H
2023-07-21,0.94567211,H
2023-07-28,0.95082129,H
2023-08-04,0.95519810,H
2023-08-11,0.95891838,H
2023-08-18,0.96208063,H
2023-08-25,0.96476853,H
2023-09-01,0.96705325,H
2023-09-08,0.96899526,H
2023-09-15,0.97064598,H
2023-09-22,0.97204908,H
2023-09-29,0.97324172,H
2023-10-06,0.97425546,H
2023-10-13,0.97511714,H
2023-10-20,0.97584957,H
2023-10-27,0.97647213,H
2023-11-03,0.97700131,H
2023-11-10,0.97745112,H
2023-11-17,0.95833345,H
2023-11-24,0.94208343,H
2023-12-01,0.92827092,H
2023-12-08,0.91653028,H
2023-12-15,0.90655074,H
2023-12-22,0.89806813,H
2023-12-29,0.89085791,H
2024-01-05,0.88472922,H
2024-01-12,0.87951984,H
2024-01-19,0.87509186,H
2024-01-26,0.87132808,H
2024-02-02,0.86812887,H
2024-02-09,0.86540954,H
2024-02-16,0.86309811,H
2024-02-23,0.86113339,H
2024-03-01,0.85946338,H
2024-03-08,0.85804388,H
2024-03-15,0.85683729,H
2024-03-22,0.85581170,H
2024-03-29,0.85493995,H
2024-04-05,0.85419895,H
2024-04-12,0.85356911,H
2024-04-19,0.85303374,H
2024-04-26,0.87207868,H
2024-05-03,0.86876688,H
2024-05-10,0.86595185,H
2024-05-17,0.86355907,H
2024-05-24,0.86152521,H
2024-05-31,0.85979643,H
2024-06-07,0.85832696,H
2024-06-14,0.85707792,H
2024-06-21,0.85601623,H
2024-06-28,0.85511380,H
2024-07-05,0.85434673,H
2024-07-12,0.85369472,H
2024-07-19,0.85314051,H
2024-07-26,0.85266943,H
2024-08-02,0.85226902,H
2024-08-09,0.85192867,H
2024-08-16,0.85163937,H
2024-08-23,0.85139346,H
2024-08-30,0.85118444,H
2024-09-06,0.85100678,H
2024-09-13,0.85085576,H
2024-09-20,0.85072740,H
2024-09-27,0.85061829,H
2024-10-04,0.85052554,H
2024-10-11,0.85044671,H
2024-10-18,0.85037970,H
2024-10-25,0.85032275,H
2024-11-01,0.85027434,H
2024-11-08,0.85023319,H
2024-11-15,0.85019821,H
2024-11-22,0.85016848,H
2024-11-29,0.85014321,H
2024-12-06,0.85012172,H
2024-12-13,0.85010347,H
2024-12-20,0.85008795,H
2024-12-27,0.85007475,H
2025-01-03,0.85006354,H
2025-01-10,0.85005401,H
2025-01-17,0.85004591,H
2025-01-24,0.85003902,H
2025-01-31,0.85003317,H
2025-02-07,0.85002819,H
2025-02-14,0.85002396,H
2025-02-21,0.85002037,H
2025-02-28,0.85001731,H
2025-03-07,0.81251472,H
2025-03-14,0.78063751,H
2025-03-21,0.75354188,H
2025-03-28,0.73051060,H
2025-04-04,0.71093401,H
2025-04-11,0.73179391,H
2025-04-18,0.74952482,H
2025-04-25,0.76459610,H
2025-05-02,0.77740668,H
2025-05-09,0.78829568,H
2025-05-16,0.79755133,H
2025-05-23,0.80541863,H
2025-05-30,0.81210584,H
2025-06-06,0.81778996,H
2025-06-13,0.82262147,H
2025-06-20,0.78922825,H
2025-06-27,0.76084401,H
2025-07-04,0.73671741,H
2025-07-11,0.71620980,H
2025-07-18,0.69877833,H
2025-07-25,0.72146158,H
2025-08-01,0.74074234,H
2025-08-08,0.71963099,H
2025-08-15,0.70168634,H
2025-08-22,0.68643339,H
2025-08-29,0.67346838,H
2025-09-05,0.66244812,H
2025-09-12,0.69058091,H
2025-09-19,0.71449377,H
2025-09-26,0.73481970,H
2025-10-03,0.75209675,H
2025-10-10,0.76678224,H
2025-10-17,0.77926490,H
2025-10-24,0.78987517,H
2025-10-31,0.79889389,H
