date,baseline,crisis_sleeve,combined
2020-04-16,0.00340273444754,-0.00013845621344366066,0.003225674914490817
2020-04-17,0.0020904888684692,-0.0011083403739187148,0.001930547406349804
2020-04-19,0.0074376733090195,-0.00027727714027658834,0.007051925786554695
2020-04-20,-0.0080223389366821,0.0069089676510731834,-0.0072757736072943365
2020-04-21,-0.0187711335834816,0.010547320570781338,-0.01730521087576845
2020-04-22,0.0027621545261058,-0.008209103426804809,0.00221359162846027
2020-04-23,0.0030382336287367,0.003291732501851996,0.0030509085723924643
2020-04-24,0.0054968282810884,0.0015050970892165338,0.005297241721494807
2020-04-26,-0.0010613909203231,-0.0006838542289342442,-0.0010425140857536572
2020-04-27,0.0010522867390147,-0.018224997050319658,8.84225495479821e-05
2020-04-28,0.0004207229771668,0.011636091950174787,0.0009814914258171993
